site,containment,cfm_per_kw,fan_w_per_cfm,cop,electricity_usd_per_kwh,baseline_it_kw,pue,fan_it_pct,cool_it_pct,total_power_kw,annual_cost_usd,annual_co2_t
PHX,0.95,250.0,0.120,5.50,0.07,572.0,1.225,2.460,13.011,700.532,429566.21,2454.664
PHX,0.95,250.0,0.120,5.50,0.25,572.0,1.225,2.460,13.011,700.532,1534165.03,2454.664
PHX,0.95,250.0,0.250,3.30,0.07,572.0,1.338,5.125,21.684,765.390,469336.92,2681.925
PHX,0.95,250.0,0.250,3.30,0.25,572.0,1.338,5.125,21.684,765.390,1676203.29,2681.925
PHX,0.95,250.0,0.250,5.50,0.07,572.0,1.251,5.125,13.011,715.776,438913.71,2508.078
PHX,0.95,250.0,0.250,5.50,0.25,572.0,1.251,5.125,13.011,715.776,1567548.96,2508.078
PHX,0.95,320.0,0.120,3.30,0.07,572.0,1.318,3.149,21.684,754.086,462405.39,2642.317
PHX,0.95,320.0,0.120,3.30,0.25,572.0,1.318,3.149,21.684,754.086,1651447.83,2642.317
PHX,0.95,320.0,0.120,5.50,0.07,572.0,1.232,3.149,13.011,704.472,431982.18,2468.470
PHX,0.95,320.0,0.120,5.50,0.25,572.0,1.232,3.149,13.011,704.472,1542793.49,2468.470
PHX,0.95,320.0,0.250,3.30,0.07,572.0,1.352,6.560,21.684,773.598,474370.19,2710.687
PHX,0.95,320.0,0.250,3.30,0.25,572.0,1.352,6.560,21.684,773.598,1694179.25,2710.687
PHX,0.95,320.0,0.250,5.50,0.07,572.0,1.266,6.560,13.011,723.984,443946.98,2536.840
PHX,0.95,320.0,0.250,5.50,0.25,572.0,1.266,6.560,13.011,723.984,1585524.91,2536.840
PHX,0.95,450.0,0.120,3.30,0.07,572.0,1.331,4.428,21.684,761.403,466892.19,2667.955
PHX,0.95,450.0,0.120,3.30,0.25,572.0,1.331,4.428,21.684,761.403,1667472.11,2667.955
PHX,0.95,450.0,0.120,5.50,0.07,572.0,1.244,4.428,13.011,711.789,436468.98,2494.108
PHX,0.95,450.0,0.120,5.50,0.25,572.0,1.244,4.428,13.011,711.789,1558817.78,2494.108
PHX,0.95,450.0,0.250,3.30,0.07,572.0,1.379,9.225,21.684,788.842,483717.69,2764.101
PHX,0.95,450.0,0.250,3.30,0.25,572.0,1.379,9.225,21.684,788.842,1727563.17,2764.101
PHX,0.95,450.0,0.250,5.50,0.07,572.0,1.292,9.225,13.011,739.228,453294.47,2590.254
PHX,0.95,450.0,0.250,5.50,0.25,572.0,1.292,9.225,13.011,739.228,1618908.84,2590.254
